country,language,percent
Indonesia,Balinese,2.7838598686268377
Macau SAR,Other,2.73972602739726
Macau SAR,Standard Chinese; Mandarin; Putonghua; Guoyu,2.73972602739726
Russia,Other,2.707182320441989
Northern Ireland,Other,2.690582959641256
Philippines,Bikol; Bicolano,2.666666666666667
Philippines,Sama-Bajaw,2.666666666666667
Pakistan,Other,2.657973921765296
Canada,Other,2.5883524141363865
New Zealand,Other,2.521823472356935
Libya,Berber; Amazigh; Tamaziɣt,2.508361204013378
Pakistan,Balochi,2.457372116349047
Kenya,Turkana,2.448657187993681
Serbia,Hungarian,2.318840579710145
Indonesia,Madurese,2.283390678761339
Morocco,"Hassaniyya, Klem El Bithan",2.25
Bolivia,Aymara,2.228682170542636
Taiwan,Other,2.2076860179885527
Indonesia,Banjar,2.064435408195183
Russia,Tatar,2.0441988950276246
Cyprus,Other,2.002002002002002
Cyprus,English,2.002002002002002
Philippines,Maguindanao,2.0
Myanmar,Shan,1.8333333333333333
Kenya,Maasai,1.8167456556082149
Guatemala,Mayan languages,1.8047579983593112
Indonesia,"Other local; aboriginal; tribal, community",1.7203628401626525
Philippines,Kapampangan,1.6666666666666667
Greece,Albanian,1.6666666666666667
Hong Kong SAR,Standard Chinese; Mandarin; Putonghua; Guoyu,1.6385542168674698
Australia,Standard Chinese; Mandarin; Putonghua; Guoyu,1.5581524763494714
Netherlands,English,1.5430562468889994
Indonesia,Batak,1.5326868939630904
Uzbekistan,Kazakh,1.52
Philippines,Itneg,1.5
Nigeria,Tiv,1.45985401459854
Hong Kong SAR,Other Chinese dialects,1.4457831325301205
Lebanon,Armenian; Hayeren,1.4166666666666663
Indonesia,Makassarese,1.4075695964967156
Zimbabwe,Other,1.3991769547325104
Zimbabwe,Tonga,1.3991769547325104
Russia,Chechen,1.3812154696132597
Kyrgyzstan,Other,1.3333333333333337
Canada,Cantonese,1.3190642110502735
Singapore,Other,1.2922465208747516
Hong Kong SAR,English,1.253012048192771
Tajikistan,Russian,1.25
Vietnam,Thai; Central Thai,1.25
Puerto Rico,English,1.2466607301869992
United States,Other,1.237432327919567
Indonesia,Palembang,1.2198936502971536
Iran,Arabic,1.2016021361815754
Chile,English,1.2
Germany,Turkish,1.1780104712041886
Iraq,Turkmen,1.1666666666666667
Philippines,Kamayo,1.1666666666666667
Philippines,Tausug,1.1666666666666667
Ukraine,Other,1.1655011655011656
Indonesia,Buginese/Bugis,1.1573350015639663
Taiwan,Hakka Chinese,1.1447260834014716
Great Britain,Polish,1.0852713178294573
New Zealand,Standard Chinese; Mandarin; Putonghua; Guoyu,1.066925315227934
Philippines,Surigaonon,1.0
Tunisia,Arabic,0.9966777408637874
Colombia,English,0.992063492063492
Armenia,Russian,0.9828009828009828
Slovakia,"Romanian, Moldavian, Moldovan",0.9166666666666666
Myanmar,Mon,0.9166666666666666
Northern Ireland,Polish,0.8968609865470852
Russia,Avar; Avaric,0.8839779005524863
Macau SAR,English,0.8806262230919765
Kazakhstan,Azerbaijani; Azeri,0.8620689655172413
Peru,Aymara,0.8571428571428572
Mongolia,Kazakh,0.8547008547008548
Australia,Cantonese,0.8347245409015025
Zimbabwe,Karanga; Korekore,0.823045267489712
United States,Standard Chinese; Mandarin; Putonghua; Guoyu,0.8120649651972157
Greece,Other,0.75
Guatemala,English,0.6562756357670222
Germany,Russian,0.6544502617801047
Germany,Polish,0.6544502617801047
Nigeria,Urhobo,0.6488240064882401
Kazakhstan,Kurdish; Yezidi,0.6269592476489028
Germany,Arabic,0.5890052356020943
Philippines,Yakan,0.5833333333333334
Czechia,Unlisted Language,0.5833333333333334
Serbia,Romani; Romany,0.5797101449275363
Armenia,Other,0.5733005733005733
Great Britain,Unlisted Language,0.5426356589147286
Canada,Standard Chinese; Mandarin; Putonghua; Guoyu,0.5226480836236934
Australia,Arabic,0.5008347245409015
Lebanon,French,0.5
Serbia,Slovak,0.4830917874396135
Northern Ireland,Unlisted Language,0.4484304932735426
Australia,Korean,0.4451864218141347
Canada,Spanish; Castilian,0.4230960676953708
Libya,Other,0.4180602006688963
Ecuador,Quechua,0.4166666666666667
Zimbabwe,Ndau; chiNdau,0.411522633744856
Thailand,"Other local; aboriginal; tribal, community",0.4
Chile,French,0.4
Argentina,Other,0.3988035892323031
Canada,Tagalog,0.3982080637132902
Serbia,Albanian,0.3864734299516908
Canada,"Punjabi, Panjabi",0.3733200597312096
Mongolia,English,0.3663003663003663
Australia,"Greek, Modern",0.333889816360601
Nicaragua,English,0.3333333333333333
Czechia,Romani; Romany,0.3333333333333333
Philippines,Blaan,0.3333333333333333
Jordan,English,0.3325020781379884
Zimbabwe,Chitoko,0.3292181069958848
Zimbabwe,Venda; Tshivenda,0.3292181069958848
Uzbekistan,Other,0.32
Uzbekistan,Turkmen,0.32
Kazakhstan,Uighur; Uyghur,0.3134796238244514
Kazakhstan,Turkish,0.3134796238244514
Canada,Arabic,0.2986560477849677
Netherlands,German,0.2986560477849677
New Zealand,Maori,0.2909796314258002
New Zealand,"Other local; aboriginal; tribal, community",0.2909796314258002
Hong Kong SAR,Other,0.2891566265060241
Indonesia,Betawi,0.2502345949327494
Vietnam,Muong,0.25
Myanmar,Hindi,0.25
Netherlands,Arabic,0.2488800398208063
Guatemala,"Other local; aboriginal; tribal, community",0.2461033634126333
Romania,Romansh,0.2394253790901835
Australia,Persian; Farsi; Dari,0.2225932109070673
Australia,Italian,0.2225932109070673
Australia,Russian,0.2225932109070673
Australia,"Sinhala, Sinhalese",0.2225932109070673
Pakistan,Brahui,0.2006018054162487
Netherlands,Spanish; Castilian,0.1991040318566451
Macau SAR,Portuguese,0.1956947162426614
Maldives,English,0.1926782273603083
Mongolia,Russian,0.1831501831501831
Mexico,Other,0.1723147616312464
Australia,Bengali; Bangla,0.1669449081803005
Australia,Hindi,0.1669449081803005
Australia,Indonesian,0.1669449081803005
Australia,Tagalog,0.1669449081803005
Australia,Vietnamese,0.1669449081803005
Australia,Croatian,0.1669449081803005
Kyrgyzstan,Kazakh,0.1666666666666666
Czechia,Ukrainian,0.1666666666666666
Greece,Ukrainian,0.1666666666666666
Greece,Bulgarian,0.1666666666666666
Kyrgyzstan,Tajik,0.1666666666666666
Lebanon,English,0.1666666666666666
Ecuador,Other,0.1666666666666666
Slovakia,Czech,0.1666666666666666
Nicaragua,Other,0.1666666666666666
Philippines,Chavacano; Chabacano,0.1666666666666666
Jordan,Other,0.1662510390689942
Guatemala,Garifuna,0.1640689089417555
Taiwan,"Other local; aboriginal; tribal, community",0.1635322976287817
Nigeria,Isoko,0.16220600162206
Netherlands,French,0.1493280238924838
Japan,English,0.1492537313432836
