country,language,count,percent
India,"Punjabi, Panjabi",126,7.451212300413957
India,Telugu,186,10.999408633944412
India,Other,125,7.392075694855116
Indonesia,Balinese,89,2.7838598686268377
Indonesia,Banjar,66,2.064435408195183
Indonesia,Batak,49,1.5326868939630904
Indonesia,Betawi,8,0.25023459493274947
Indonesia,Buginese/Bugis,37,1.1573350015639663
Indonesia,Indonesian,873,27.306850172036285
Indonesia,Javanese,1075,33.62527369408821
Indonesia,Lampung,3,0.09383797309978105
Indonesia,Madurese,73,2.283390678761339
Indonesia,Makassarese,45,1.4075695964967156
Indonesia,Standard Chinese; Mandarin; Putonghua; Guoyu,2,0.06255864873318737
Indonesia,Palembang,39,1.2198936502971536
Indonesia,Sundanese,391,12.23021582733813
Indonesia,Toraja-Saʼdan,2,0.06255864873318737
Indonesia,Other,390,12.198936502971536
Indonesia,"Other local; aboriginal; tribal, community",55,1.7203628401626525
Iran,Arabic,18,1.2016021361815754
Iran,Azerbaijani; Azeri,258,17.222963951935917
Iran,Gilaki,94,6.275033377837117
Iran,Kurdish; Yezidi,87,5.807743658210948
Iran,Lurish; Luri; Bakhtiari,60,4.005340453938585
Iran,Persian; Farsi; Dari,911,60.814419225634175
Iran,Other,70,4.672897196261682
Iraq,Arabic,1007,83.91666666666666
Iraq,Assyrian Neo-Aramaic,1,0.08333333333333334
Iraq,Kurdish; Yezidi,178,14.833333333333334
Iraq,Turkmen,14,1.1666666666666667
Japan,English,2,0.1492537313432836
Japan,Japanese,1338,99.85074626865672
Kazakhstan,Azerbaijani; Azeri,11,0.8620689655172413
Kazakhstan,Kazakh,678,53.13479623824452
Kazakhstan,Korean,1,0.07836990595611285
Kazakhstan,Kurdish; Yezidi,8,0.6269592476489028
Kazakhstan,Lezgian; Lezgi; Lezgin,1,0.07836990595611285
Kazakhstan,Persian; Farsi; Dari,1,0.07836990595611285
Kazakhstan,Russian,519,40.673981191222566
Kazakhstan,Tajik,1,0.07836990595611285
Kazakhstan,Tatar,1,0.07836990595611285
Kazakhstan,Turkish,4,0.3134796238244514
Kazakhstan,Uighur; Uyghur,4,0.3134796238244514
Kazakhstan,Uzbek,47,3.683385579937304
Jordan,Arabic,1196,99.41812136325852
Jordan,English,4,0.3325020781379884
Jordan,German,1,0.0831255195344971
Jordan,Other,2,0.1662510390689942
Kenya,Arabic,1,0.07898894154818326
Kenya,Hindi,1,0.07898894154818326
Kenya,Kalenjin,122,9.636650868878357
Kenya,Kamba,100,7.898894154818326
Kenya,Kikuyu; Gikuyu,158,12.480252764612953
Kenya,Kisii,38,3.0015797788309637
Kenya,Luhya,102,8.056872037914692
Kenya,"Luo, Lwo; Lwoian",106,8.372827804107425
Kenya,Maasai,23,1.8167456556082147
Kenya,Meru,61,4.818325434439179
Kenya,Mijikenda,41,3.238546603475513
Kenya,Somali,85,6.714060031595577
Kenya,Swahili,356,28.12006319115324
Kenya,Turkana,31,2.448657187993681
Kenya,Other,41,3.238546603475513
South Korea,Korean,1245,100.0
Kyrgyzstan,Kazakh,2,0.16666666666666669
Kyrgyzstan,Kirghiz; Kyrgyz,851,70.91666666666666
Kyrgyzstan,Russian,200,16.666666666666664
Kyrgyzstan,Tajik,2,0.16666666666666669
Kyrgyzstan,Uzbek,129,10.75
Kyrgyzstan,Other,16,1.3333333333333335
Lebanon,Arabic,1175,97.91666666666666
Lebanon,Armenian; Hayeren,17,1.4166666666666665
Lebanon,English,2,0.16666666666666669
Lebanon,French,6,0.5
Libya,Arabic,1161,97.07357859531773
Libya,Berber; Amazigh; Tamaziɣt,30,2.508361204013378
Libya,Other,5,0.4180602006688963
Macau SAR,Cantonese,955,93.44422700587084
Macau SAR,English,9,0.8806262230919765
Macau SAR,Standard Chinese; Mandarin; Putonghua; Guoyu,28,2.73972602739726
Macau SAR,Portuguese,2,0.19569471624266144
Macau SAR,Other,28,2.73972602739726
Malaysia,English,161,12.261995430312261
Malaysia,Malay; Malaysian,775,59.025133282559025
Malaysia,Standard Chinese; Mandarin; Putonghua; Guoyu,267,20.335110434120335
Malaysia,Tamil,50,3.808073115003808
Malaysia,Other,60,4.56968773800457
Maldives,Bengali; Bangla,1,0.09633911368015415
Maldives,Unlisted Language,1034,99.61464354527938
Maldives,English,2,0.1926782273603083
Maldives,Malayalam,1,0.09633911368015415
Mexico,Spanish; Castilian,1738,99.82768523836876
Mexico,Other,3,0.17231476163124643
Mongolia,English,6,0.3663003663003663
Mongolia,Kazakh,14,0.8547008547008548
Mongolia,Mongolian,1615,98.5958485958486
Mongolia,Russian,3,0.18315018315018314
Morocco,Arabic,1039,86.58333333333333
Morocco,Berber; Amazigh; Tamaziɣt,134,11.166666666666666
Morocco,"Hassaniyya, Klem El Bithan",27,2.25
Netherlands,Arabic,5,0.24888003982080636
