language,cluster
af,0
ar,0
az,2
bg,0
bn,2
bs,0
ca,2
cs,0
da,1
de,0
el,0
en,0
eo,2
es,0
es_419,2
et,2
eu,2
fa,2
fi,1
fr,0
he,0
hi,2
hr,0
hu,0
id,2
is,2
it,0
ja,2
ka,2
km,2
ko,2
lt,2
lv,2
mk,2
ml,2
mn,2
ms,2
my,2
nl,0
no,1
pl,0
pt,0
pt_BR,0
ro,0
ru,0
sd,2
si,2
sk,2
sl,0
sq,2
sr,0
sv,1
te,2
th,2
tr,0
uk,2
ur,2
vi,2
zh_CN,2
zh_TW,2
zh_ze,2
am,2
ku,2
an,2
es_ES,2
as,2
ast,2
be,2
br,0
cy,0
en_ze,2
ga,2
gd,2
gl,2
hy,2
ig,2
kk,2
kn,2
lb,2
ne,2
nn,1
oc,2
or,2
pt_MZ,2
sw,2
ta,2
tl,2
tt,2
yue,2
mr,0
