language,num_neighbors_all,num_strong_neighbors
mr,2,0
uz,10,0
se,18,0
so,56,0
nn,74,0
or,78,0
an,80,0
br,84,0
am,86,0
ig,88,0
as,94,0
pt_MZ,98,4
kn,102,88
hy,102,0
lb,104,0
gd,106,32
ga,112,40
sw,114,52
ast,116,60
oc,120,50
kk,126,84
af,128,76
sd,130,84
mn,140,98
