lang1,lang2,weight
kbp,kk,2299
kbd,kj,87
kge,kj,36
kk,km,9370
kk,kn,3604
km,kn,15387
kk,kl,2813
kl,km,4200
kl,kn,927
kn,knc,4146
kn,ko,11074
knc,ko,562
ko,ks,1619
ko,koi,680
ko,krc,906
krc,ks,9042
ko,ksh,463
ko,ku,491
krc,ksh,10792
ks,ksh,9728
koi,ks,4938
ks,ku,8583
koi,krc,7502
koi,ksh,3810
koi,ku,1926
krc,ku,7770
ksh,ku,11396
koi,kr,117
kr,krc,133
kr,ks,186
kr,ksh,128
ku,kv,9120
ku,kw,6028
ku,kus,166
kv,kw,19019
kus,kv,133
kus,kw,185
kw,ky,15462
ky,la,2716
la,lad,8017
la,lb,2328
lad,lb,4312
lb,lez,8857
lb,lfn,10347
lez,lfn,10884
lb,lbe,5189
lbe,lez,6590
lbe,lfn,3755
lb,lg,3152
lez,lg,3920
lfn,lg,4700
lbe,lg,4108
lb,li,6386
lez,li,13242
lfn,li,15230
lg,li,5362
lbe,li,3055
li,lij,27376
li,lld,2007
lij,lld,13967
lld,lmo,786
lmo,ln,6777
lmo,lo,4294
ln,lo,15344
lmo,lt,492
lo,lt,4707
ln,lt,3938
lt,ltg,3304
lt,lv,5540
ltg,lv,2225
lv,mad,2164
lv,mai,8539
mad,mai,4499
mai,mdf,16077
mai,map-bms,24398
map-bms,mdf,33088
mai,mg,6749
map-bms,mg,14970
mdf,mg,18029
mg,mhr,7418
mg,mi,2327
mhr,mi,21559
mg,mh,268
mh,mi,246
mh,mhr,159
min,mk,11857
mk,ml,4246
ml,mn,7544
mn,mnw,2033
mn,mni,8038
mni,mnw,1874
mn,mos,405
mn,mr,7773
mni,mr,5661
mni,mos,459
mnw,mos,225
mnw,mr,1936
mos,mr,891
mr,mrj,4018
mr,ms,2141
mrj,ms,23684
ms,mt,2393
ms,mwl,836
mt,mwl,12574
ms,my,216
mwl,my,13571
mt,my,6930
mt,mus,219
mus,mwl,147
my,mzn,2622
my,myv,19255
